TEXTUAL MENTION,STANDARDIZED TEXTUAL LABEL,STANDARDIZED MAPPING TERM,GROUP
Myalgia,Myalgia,Myalgia,Musculoskeletal issue
Fatigue,Fatigue,Feeling Tired,Fatigue issue
Gassed,Fatigued,Feeling Tired,Fatigue issue
Exhausted,Fatigued,Feeling Tired,Fatigue issue
Drained,Fatigued,Feeling Tired,Fatigue issue
Exhaustion,Fatigue,Feeling Tired,Fatigue issue
Energy level low,Fatigue,Feeling Tired,Fatigue issue
Energy terrible,Fatigue,Feeling Tired,Fatigue issue
Tired,Fatigued,Feeling Tired,Fatigue issue
Feel Shit,Malaise,Feeling Tired,Fatigue issue
Uncomfortable,Malaise,Malaise,Fatigue issue
Discomfort,Malaise,Malaise,Fatigue issue
Lethargic,Lethargy,Lethargy,Fatigue issue
Sweating,Sweating,Sweating,Thermoregulation issue
Diaphoresis,Diaphoresis,Abnormal sweating,Thermoregulation issue
Hot,Feeling hot,Feeling hot,Thermoregulation issue
Heat,Feeling hot,Feeling hot,Thermoregulation issue
Overheating,Feeling hot,Feeling hot,Thermoregulation issue
Nightsweats,Nightsweat,Nightsweat,Thermoregulation issue
Drenched Sheets,Nightsweat,Nightsweat,Thermoregulation issue
Soaked Sheets,Nightsweat,Nightsweat,Thermoregulation issue
Fever,Fever,Fever,Thermoregulation issue
Elevated Body Temperature,Fever,Fever,Thermoregulation issue
Hot flashes,Hot flashes,Hot flashes,Thermoregulation issue
Chills,Chills,Chills,Thermoregulation issue
Flushing,Flushing,Flushing,Thermoregulation issue
Tingling,Tingling,Tingling,Neurological issue
Peripheral Neuropathy,Peripheral Neuropathy,Peripheral Neuropathy,Neurological issue
Numbness,Peripheral Neuropathy,Peripheral Neuropathy,Neurological issue
Headache,Headache,Headache,Neurological issue
Light headed,Dizzy,Dizzy,Neurological issue
Dizzy,Dizzy,Dozzy,Neurological issue
Confusion,Confusion,Confusion,Neurological issue
Anxious,Anxious,Anxious,Behavioral issue
Miserable mood,Bad mood,Bad mood,Behavioral issue
Mood poor,Bad mood,Bad mood,Behavioral issue
Suicidal,Suicidality,Suicidality,Behavioral issue
Concentration issues,Concentration issues,Concentration issues,Behavioral issue
Funky dreams,Odd dreams,Odd dreams,Behavioral issue
Nightmares,Odd dreams,Odd dreams,Behavioral issue
Blurry vision,Blurry vision,Blurry vision,Eye issue
Cataracts,Cataracts,Cataracts,Eye issue
Constricted pupils,Constricted pupils,Constricted pupils,Eye issue
Yellow tint,Yellow tint,Yellow tint,Eye issue
Eyes yellow,Scleral icterus,Scleral icterus,Eye issue
Yellow eyes,Scleral icterus,Scleral icterus,Eye issue
Increased urination,Increased urination,Increased urination,Urine issue
Urine dark color,Darkened urine,Darkened urine,Urine issue
Decreasd urination,Decreasd urination,Decreasd urination,Urine issue
