ENTITY,TERMS,STANDRADISED MAPPING TERM,GROUP
Myalgia,Myalgia,Feeling Tired,Fatigue issue
Fatigue,Fatigue,Feeling Tired,Fatigue issue
Gassed,Fatigue,Feeling Tired,Fatigue issue
Exhausted,Fatigue,Feeling Tired,Fatigue issue
Drained,Fatigue,Feeling Tired,Fatigue issue
Exhaustion,Fatigue,Feeling Tired,Fatigue issue
Energy level low,Fatigue,Feeling Tired,Fatigue issue
Energy terrible,Fatigue,Feeling Tired,Fatigue issue
Tired,Fatigue,Feeling Tired,Fatigue issue
Feel Shit,Malaise,Feeling Tired,Fatigue issue
Uncomfortable,Malaise,Feeling Tired,Fatigue issue
Discomfort,Malaise,Feeling Tired,Fatigue issue
Lethargic,Lethargy,Feeling Tired,Fatigue issue
Sweating,Sweating,Abnormal sweating,Thermoregulation issue
Diaphoresis,Diaphoresis,Abnormal sweating,Thermoregulation issue
Hot,Feeling hot,Feeling hot,Thermoregulation issue
Heat,Feeling hot,Feeling hot,Thermoregulation issue
Overheating,Feeling hot,Feeling hot,Thermoregulation issue
Nightsweats,Nightsweat,Nightsweat,Thermoregulation issue
Drenched Sheets,Nightsweat,Nightsweat,Thermoregulation issue
Soaked Sheets,Nightsweat,Nightsweat,Thermoregulation issue
Fever,Fever,Fever,Thermoregulation issue
Elevated Body Temperature ,Fever,Fever,Thermoregulation issue
Hot flashes,Hot flashes,Hot flashes,Thermoregulation issue
Chills,Chills,Chills,Thermoregulation issue
Flushing,Flushing,Flushing,Thermoregulation issue
Tingling,Tingling,Tingling,Neurological issue
Peripheral Neuropathy,Peripheral Neuropathy,Peripheral Neuropathy,Neurological issue
Numbness,Peripheral Neuropathy,Peripheral Neuropathy,Neurological issue
Headache,Headache,Headache,Neurological issue
Light headed,Drowsy,Drowsy,Neurological issue
Dizzy,Drowsy,Drowsy,Neurological issue
Confusion,Drowsy,Drowsy,Neurological issue
Anxious,Anxious,Anxious,Behavioral issue
Miserable mood,Bad mood,Bad mood,Behavioral issue
Mood poor,Bad mood,Bad mood,Behavioral issue
Suicidal,Suicidality,Suicidality,Behavioral issue
Concentration issues,Concentration issues,Concentration issues,Behavioral issue
Funky dreams,Odd dreams,Odd dreams,Behavioral issue
Nightmares,Odd dreams,Odd dreams,Behavioral issue
Blurry vision,Blurry,Blurry,Eye issue
Cataracts,Cataracts,Cataracts,Eye issue
Constricted pupils,Constricted pupils,Constricted pupils,Eye issue
Yellow tint,Yellow tint,Yellow tint,Eye issue
Eyes yellow,Scleral icterus,Scleral icterus,Eye issue
Yellow eyes,Scleral icterus,Scleral icterus,Eye issue
Increased urination,Increased urination,Increased urination,Urine issue
Urine dark color,Darkens urine,Darkens urine,Urine issue
Decreasd urination,Decreasd urination,Decreasd urination,Urine issue
Yellow Semen,Yellow semen,Yellow semen,Reproductive issue
Yellow Cum,Yellow semen,Yellow semen,Reproductive issue
Sperm yellow,Yellow semen,Yellow semen,Reproductive issue
Jizz yellow,Yellow semen,Yellow semen,Reproductive issue
Yellow nut,Yellow semen,Yellow semen,Reproductive issue
Increased libido,Increased libido,Increased libido,Reproductive issue
Winded,Shortness of breath,Shortness of breath,Pulmonary issue
Shortness breath,Shortness of breath,,Pulmonary issue
Allergic,Allergic,Allergic,Allergy
Hives,Hives,Skin Rash,Skin issue
Rash,Rash,,Skin issue
Acne,Acne,Acne,Skin issue
Itching,Itching,Itching,Skin issue
Dry skin,Dry skin,Dry skin,Skin issue
Yellow stain,Yellow stain,Yellow stain,Skin issue
Yellowing skin ,Yellow stain,Yellow stain,Skin issue
Death,Death,Death,Death
Increase strength,Increase strength,Increase strength,Musculoskeletal issue
Cramps,Muscle Cramps,Muscle Cramps,Musculoskeletal issue
Insomnia,Insomnia,Insomnia,Sleep Issues
Shitty night sleeps,Insomnia,Insomnia,Sleep Issues
Lack sleep,Insomnia,Insomnia,Sleep Issues
Sleeping miserable,Insomnia,Insomnia,Sleep Issues
Unable sleep,Insomnia,Insomnia,Sleep Issues
Struggling sleep,Insomnia,Insomnia,Sleep Issues
Thirst,Thirst,Dehydration,Hydration issue
Dehydrated,Dehydration,Dehydration,Hydration issue
Dry mouth,Dry mouth,Dehydration,Hydration issue
Mouth feels dry,Dry mouth,Dehydration,Hydration issue
Dry nose,Dry nose,Dry nose,Hydration issue
Water Retention,Water retention,Water retention,Hydration issue
Hold water,Water retention,Water retention,Hydration issue
Heartburn,Heartburn,Heartburn,Digestive issue
Acid reflux,Heartburn,Heartburn,Digestive issue
